ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"188.255.244.83","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","35","Orion Telekom Tim d.o.o.Beograd","52116","socks4","4913","1","2023-11-14T00:12:28.111Z","100","4755","4770"
"103.79.96.225","elite","AS64308","ID","PT IndoDev Niaga Internet","197","PT IndoDev Niaga Internet","4153","socks4","4411","1","2023-11-14T00:12:28.100Z","100","4748","4758"
"193.106.73.102","elite","AS50283","RU","Business Center Ltd","47","Business Center Nov Ltd","41883","socks4","5204","80","2023-11-14T00:12:28.098Z","96","4421","4614"
"91.224.179.175","elite","AS197602","UA","TeleRadioCompany \"Studio TV-9 Beregsasom\" Ltd.","44","TV9 net 2","5678","socks4","5690","1","2023-11-14T00:12:28.102Z","96","4623","4822"
"154.70.151.73","elite","AS327716","BW","Microteck Enterprises (Pty) Ltd.","197","microteck 4G","5678","socks4","4513","1","2023-11-14T00:12:28.016Z","97","4534","4673"
"45.76.182.145","elite","AS20473","SG","The Constant Company","184","Vultr Holdings, LLC","15560","socks4","4795","1","2023-11-14T00:12:28.100Z","99","4740","4793"
"197.234.13.23","elite","AS36902","SC","Intelvision","196","Intelvision Ltd","4145","socks4","6313","3","2023-11-14T00:12:17.312Z","100","4662","4684"
"176.9.119.252","elite","AS24940","DE","Hetzner Online GmbH","22","Hetzner","30172","socks4","3195","2","2023-11-14T00:12:17.311Z","26","1250","4766"
"46.28.111.54","elite","AS197019","CZ","WEDOS Internet","21","WEDOS hosting services","1080","socks4","5007","1","2023-11-14T00:12:17.416Z","100","4749","4749"
"212.174.171.22","elite","AS9121","CY","TurkTelecom","100","Cyprus Wireless Solution Ltd.","5678","socks4","5585","1","2023-11-14T00:12:17.313Z","40","1889","4733"
"121.132.108.65","elite","AS4766","KR","Korea Telecom","286","N/A","5156","socks4","5001","1","2023-11-14T00:12:06.413Z","100","4754","4766"
"112.250.106.50","elite","AS4837","CN","China Unicom CHINA169 Shandong Province Network","184","N/A","7302","socks5","4988","1","2023-11-14T00:12:06.415Z","87","4191","4795"
"167.86.76.187","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","7497","socks5","3586","1","2023-11-14T00:12:06.412Z","73","3452","4730"
"143.255.249.74","elite","AS61468","EC","CEDIA","199","Universidad Tecnologica Israel","7497","socks5","4705","1","2023-11-14T00:12:06.414Z","95","4499","4744"
